ticket_id,customer_id,ticket_date,issue_category,priority,resolution_hours,ticket_status,customer_satisfaction
TICK0000001,CUST00002,2026-08-20,How-To Question,Medium,69,Resolved,2
TICK0000002,CUST00002,2026-08-15,Feature Request,Low,87,Resolved,5
TICK0000003,CUST00002,2026-07-23,Account Access,Medium,83,Resolved,5
TICK0000004,CUST00002,2026-05-13,Performance,Low,50,Resolved,5
TICK0000005,CUST00003,2026-08-27,How-To Question,High,34,Resolved,1
TICK0000006,CUST00004,2026-09-01,Account Access,Urgent,17,Resolved,5
TICK0000007,CUST00004,2026-03-19,Account Access,Low,52,Resolved,5
TICK0000008,CUST00004,2024-11-28,Performance,Low,39,Pending,1
TICK0000009,CUST00004,2024-06-07,Account Access,Medium,46,Resolved,1
TICK0000010,CUST00005,2025-03-16,Performance,Low,129,Resolved,5
TICK0000011,CUST00005,2025-02-07,How-To Question,Medium,43,Resolved,3
TICK0000012,CUST00006,2026-04-26,Integration,High,24,Resolved,5
TICK0000013,CUST00006,2026-08-25,Account Access,low,26,Resolved,3
TICK0000014,CUST00006,2026-09-08,Technical Issue,Low,67,Resolved,4
TICK0000015,CUST00008,2026-08-23,Account Access,Low,55,Resolved,5
TICK0000016,CUST00008,2026-03-01,How-To Question,Medium,37,Resolved,5
TICK0000017,CUST00008,2025-07-11,How-To Question,High,41,Resolved,5
TICK0000018,CUST00009,2025-06-16,Feature Request,Medium,79,Open,5
TICK0000019,CUST00009,2025-08-02,Account Access,Low,68,Resolved,5
TICK0000020,CUST00010,2026-09-18,How-To Question,Medium,17,Resolved,2
TICK0000021,CUST00010,2026-08-27,Performance,High,26,Resolved,2
TICK0000022,CUST00010,2026-09-07,How-To Question,Low,64,Resolved,3
TICK0000023,CUST00010,2026-09-16,Billing,Low,77,Resolved,5
TICK0000024,CUST00011,2025-01-01,How-To Question,High,30,Resolved,4
TICK0000025,CUST00011,10/06/2025,Billing,Medium,42,Resolved,2
TICK0000026,CUST00012,2026-03-20,Technical Issue,Low,29,Resolved,3
TICK0000027,CUST00013,2026-09-14,Performance,Low,178,Pending,1
TICK0000028,CUST00013,2026-08-03,Performance,Medium,59,Resolved,3
TICK0000029,CUST00013,2026-05-23,Bug Report,Medium,81,Resolved,
TICK0000030,CUST00013,2026-06-11,Account Access,Low,101,Resolved,2
TICK0000031,CUST00013,2026-09-01,Integration,High,52,Resolved,5
TICK0000032,CUST00013,2026-09-04,Integration,Low,66,Resolved,3
TICK0000033,CUST00014,2025-11-25,Performance,Low,32,Resolved,5
TICK0000034,CUST00014,2025-12-15,Billing,Medium,58,Resolved,4
TICK0000035,CUST00015,2026-07-16,Feature Request,Medium,55,Resolved,5
TICK0000036,CUST00016,2024-08-16,Feature Request,Low,75,Resolved,5
TICK0000037,CUST00016,2025-02-10,Account Access,Low,12,Resolved,3
TICK0000038,CUST00016,2026-06-23,Account Access,Medium,60,Resolved,4
TICK0000039,CUST00017,2024-10-28,Integration,Medium,73,Resolved,4
TICK0000040,CUST00017,2026-04-09,Performance,Medium,138,Resolved,2
TICK0000041,CUST00017,2024-12-03,Integration,Low,44,Resolved,4
TICK0000042,CUST00017,2024-07-20,Bug Report,Medium,121,Resolved,3
TICK0000043,CUST00017,2026-06-30,Performance,Medium,121,Resolved,3
TICK0000044,CUST00017,2026-04-22,Performance,Low,115,Resolved,1
TICK0000045,CUST00017,2026-07-24,Integration,High,7,Resolved,1
TICK0000046,CUST00018,2026-04-24,Bug Report,Low,98,Resolved,1
TICK0000047,CUST00018,2025-06-05,Integration,Medium,52,Resolved,3
TICK0000048,CUST00018,2024-08-12,Integration,Low,63,Resolved,4
TICK0000049,CUST00018,2025-04-29,Bug Report,High,31,Resolved,2
TICK0000050,CUST00018,2026-08-07,Account Access,Low,52,Resolved,1
TICK0000051,CUST00019,2025-10-05,Account Access,Medium,80,Resolved,3
TICK0000052,CUST00019,2025-05-24,Performance,Low,85,Resolved,4
TICK0000053,CUST00019,2025-05-24,Technical Issue,Medium,46,Resolved,3
TICK0000054,CUST00020,2026-01-17,Bug Report,Low,101,Resolved,4
TICK0000055,CUST00020,2026-03-07,Technical Issue,Medium,24,Resolved,5
TICK0000056,CUST00020,2026-08-02,Bug Report,High,4,Resolved,5
TICK0000057,CUST00020,2026-05-25,Feature Request,Medium,28,resolved,3
TICK0000058,CUST00021,2026-03-14,Integration,Low,162,Resolved,1
TICK0000059,CUST00021,2026-08-12,Performance,Medium,47,Resolved,1
TICK0000060,CUST00022,2025-12-15,Billing,Low,58,Resolved,5
TICK0000061,CUST00024,2026-05-25,How-To Question,Medium,66,Resolved,5
TICK0000062,CUST00024,2026-05-09,Performance,Low,85,Resolved,5
TICK0000063,CUST00024,2026-01-19,Performance,High,19,Resolved,4
TICK0000064,CUST00026,2026-03-05,Technical Issue,Low,49,Resolved,3
TICK0000065,CUST00026,2025-09-19,Technical Issue,Low,78,Resolved,5
