payment_id,transaction_id,customer_id,subscription_id,payment_date,payment_method,amount,paid_amount,payment_status
PAY00000001,TXN00000001,CUST00001,SUB00001,2025-02-01,Debit Card,9000,9000,Successful
PAY00000002,TXN00000002,CUST00001,SUB00001,2025-03-04,M-Pesa,9000,9000,Successful
PAY00000003,TXN00000003,CUST00001,SUB00001,2025-04-18,Credit Card,9000,9000,Late
PAY00000004,TXN00000004,CUST00001,SUB00001,2025-05-03,M-Pesa,9000,9000,Successful
PAY00000005,TXN00000005,CUST00001,SUB00001,2025-06-01,Credit Card,9000,9000,Successful
PAY00000006,TXN00000006,CUST00001,SUB00001,2025-07-04,Credit Card,9000,0,Failed
PAY00000007,TXN00000007,CUST00001,SUB00001,2025-08-01,Credit Card,9000,9000,Successful
PAY00000008,TXN00000008,CUST00001,SUB00001,2025-09-02,Bank Transfer,9000,9000,Successful
PAY00000009,TXN00000009,CUST00001,SUB00001,2025-10-04,Debit Card,9000,9000,Successful
PAY00000010,TXN00000010,CUST00001,SUB00001,2025-11-04,Bank Transfer,9000,9000,Successful
PAY00000011,TXN00000011,CUST00001,SUB00001,2025-12-02,M-Pesa,9000,9000,Successful
PAY00000012,TXN00000012,CUST00001,SUB00001,2026-01-02,Credit Card,9000,9000,Successful
PAY00000013,TXN00000013,CUST00001,SUB00001,2026-02-01,Bank Transfer,9000,9000,Successful
PAY00000014,TXN00000014,CUST00001,SUB00001,2026-03-02,Debit Card,9000,9000,Successful
PAY00000015,TXN00000015,CUST00001,SUB00001,2026-04-01,Debit Card,9000,9000,Successful
PAY00000016,TXN00000016,CUST00001,SUB00001,2026-05-04,Bank Transfer,9000,9000,Successful
PAY00000017,TXN00000017,CUST00001,SUB00001,2026-06-02,M-Pesa,9000,9000,Successful
PAY00000018,TXN00000018,CUST00001,SUB00001,2026-07-04,Credit Card,9000,9000,Successful
PAY00000019,TXN00000019,CUST00001,SUB00001,2026-08-02,Credit Card,9000,9000,Successful
PAY00000020,TXN00000020,CUST00001,SUB00001,2026-09-03,Debit Card,9000,9000,Successful
PAY00000021,TXN00000021,CUST00002,SUB00002,2026-06-20,Debit Card,1500,1500,Late
PAY00000022,TXN00000022,CUST00002,SUB00002,2026-07-01,M-Pesa,1500,1500,Successful
PAY00000023,TXN00000023,CUST00002,SUB00002,2026-08-04,Debit Card,1500,1500,Successful
PAY00000024,TXN00000024,CUST00002,SUB00002,2026-09-04,M-Pesa,1500,1500,Successful
PAY00000025,TXN00000025,CUST00003,SUB00003,2024-08-02,Debit Card,54000,54000,Successful
PAY00000026,TXN00000026,CUST00003,SUB00003,2025-08-03,Credit Card,54000,54000,Successful
PAY00000027,TXN00000027,CUST00003,SUB00003,2026-08-05,Credit Card,54000,0,Failed
PAY00000028,TXN00000028,CUST00004,SUB00004,2023-12-02,M-Pesa,9000,9000,Successful
PAY00000029,TXN00000029,CUST00004,SUB00004,2024-01-03,Credit Card,9000,9000,Successful
PAY00000030,TXN00000030,CUST00004,SUB00004,2024-02-02,Credit Card,9000,9000,Successful
PAY00000031,TXN00000031,CUST00004,SUB00004,2024-03-01,M-Pesa,9000,9000,Successful
PAY00000032,TXN00000032,CUST00004,SUB00004,2024-04-01,M-Pesa,9000,9000,Successful
PAY00000033,TXN00000033,CUST00004,SUB00004,2024-05-02,M-Pesa,9000,9000,Successful
PAY00000034,TXN00000034,CUST00004,SUB00004,2024-06-10,Credit Card,9000,9000,Late
PAY00000035,TXN00000035,CUST00004,SUB00004,2024-07-01,M-Pesa,9000,9000,Successful
PAY00000036,TXN00000036,CUST00004,SUB00004,2024-08-01,Debit Card,9000,9000,Successful
PAY00000037,TXN00000037,CUST00004,SUB00004,2024-09-02,Credit Card,9000,9000,Successful
PAY00000038,TXN00000038,CUST00004,SUB00004,2024-10-01,Debit Card,9000,9000,Successful
PAY00000039,TXN00000039,CUST00004,SUB00004,2024-11-04,M-Pesa,9000,9000,Successful
PAY00000040,TXN00000040,CUST00004,SUB00004,2024-12-01,Bank Transfer,9000,9000,Successful
PAY00000041,TXN00000041,CUST00004,SUB00004,2025-01-01,Bank Transfer,9000,9000,Successful
PAY00000042,TXN00000042,CUST00004,SUB00004,2025-02-02,M-Pesa,9000,9000,Successful
PAY00000043,TXN00000043,CUST00004,SUB00004,2025-03-04,M-Pesa,9000,9000,Successful
PAY00000044,TXN00000044,CUST00004,SUB00004,2025-04-04,Debit Card,9000,9000,Successful
PAY00000045,TXN00000045,CUST00004,SUB00004,2025-05-02,Credit Card,9000,9000,Successful
PAY00000046,TXN00000046,CUST00004,SUB00004,2025-06-01,M-Pesa,9000,9000,Successful
PAY00000047,TXN00000047,CUST00004,SUB00004,2025-07-04,Debit Card,9000,9000,Successful
PAY00000048,TXN00000048,CUST00004,SUB00004,2025-08-02,Debit Card,9000,9000,Successful
PAY00000049,TXN00000049,CUST00004,SUB00004,2025-09-02,Bank Transfer,9000,9000,Successful
PAY00000050,TXN00000050,CUST00004,SUB00004,2025-10-03,Debit Card,9000,9000,Successful
PAY00000051,TXN00000051,CUST00004,SUB00004,2025-11-04,Bank Transfer,9000,9000,Successful
PAY00000052,TXN00000052,CUST00004,SUB00004,2025-12-02,Bank Transfer,9000,9000,Successful
PAY00000053,TXN00000053,CUST00004,SUB00004,2026-01-04,Credit Card,9000,9000,Successful
PAY00000054,TXN00000054,CUST00004,SUB00004,2026-02-03,Credit Card,9000,9000,Successful
PAY00000055,TXN00000055,CUST00004,SUB00004,2026-03-10,Bank Transfer,9000,9000,Late
PAY00000056,TXN00000056,CUST00004,SUB00004,2026-04-02,Debit Card,9000,9000,Successful
PAY00000057,TXN00000057,CUST00004,SUB00004,2026-05-11,Bank Transfer,9000,9000,Late
PAY00000058,TXN00000058,CUST00004,SUB00004,2026-06-18,Credit Card,9000,9000,Late
PAY00000059,TXN00000059,CUST00004,SUB00004,2026-07-04,Credit Card,9000,9000,Successful
PAY00000060,TXN00000060,CUST00004,SUB00004,2026-08-02,Debit Card,9000,9000,Successful
PAY00000061,TXN00000061,CUST00004,SUB00004,2026-09-03,Bank Transfer,9000,9000,Successful
PAY00000062,TXN00000062,CUST00005,SUB00005,2024-11-02,Credit Card,1500,1500,Successful
PAY00000063,TXN00000063,CUST00005,SUB00005,2024-12-03,M-Pesa,1500,1500,Successful
PAY00000064,TXN00000064,CUST00005,SUB00005,2025-01-03,Debit Card,1500,1500,Successful
PAY00000065,TXN00000065,CUST00005,SUB00005,2025-02-04,Bank Transfer,1500,1500,Successful
PAY00000066,TXN00000066,CUST00005,SUB00005,2025-03-02,Debit Card,1500,1500,Successful
PAY00000067,TXN00000067,CUST00005,SUB00005,2025-04-01,Debit Card,1500,1500,Successful
PAY00000068,TXN00000068,CUST00005,SUB00005,2025-05-02,Credit Card,1500,1500,Successful
PAY00000069,TXN00000069,CUST00005,SUB00005,2025-06-15,Credit Card,1500,1500,Late
PAY00000070,TXN00000070,CUST00005,SUB00005,2025-07-02,Debit Card,1500,1500,Successful
PAY00000071,TXN00000071,CUST00005,SUB00005,2025-08-02,Credit Card,1500,1500,Successful
PAY00000072,TXN00000072,CUST00005,SUB00005,2025-09-02,Debit Card,1500,1500,Successful
PAY00000073,TXN00000073,CUST00005,SUB00005,2025-10-03,Bank Transfer,1500,1500,Successful
PAY00000074,TXN00000074,CUST00005,SUB00005,2025-11-04,Debit Card,1500,1500,Successful
PAY00000075,TXN00000075,CUST00005,SUB00005,2025-12-01,M-Pesa,1500,1500,Successful
PAY00000076,TXN00000076,CUST00005,SUB00005,2026-01-04,M-Pesa,1500,1500,Successful
PAY00000077,TXN00000077,CUST00005,SUB00005,2026-02-04,Credit Card,1500,1500,Successful
PAY00000078,TXN00000078,CUST00005,SUB00005,2026-03-02,Bank Transfer,1500,1500,successful
PAY00000079,TXN00000079,CUST00005,SUB00005,2026-04-04,Bank Transfer,1500,1500,Successful
PAY00000080,TXN00000080,CUST00005,SUB00005,2026-05-03,Credit Card,1500,1500,Successful
PAY00000081,TXN00000081,CUST00005,SUB00005,2026-06-04,M-Pesa,1500,1500,Successful
PAY00000082,TXN00000082,CUST00005,SUB00005,2026-07-02,Debit Card,1500,1500,Successful
PAY00000083,TXN00000083,CUST00005,SUB00005,2026-08-01,Debit Card,1500,1500,Successful
PAY00000084,TXN00000084,CUST00005,SUB00005,2026-09-01,Debit Card,1500,1500,Successful
PAY00000085,TXN00000085,CUST00006,SUB00006,2026-05-04,M-Pesa,1500,1500,Successful
PAY00000086,TXN00000086,CUST00006,SUB00006,2026-06-03,Credit Card,1500,1500,Successful
PAY00000087,TXN00000087,CUST00006,SUB00006,2026-07-02,Bank Transfer,1500,1500,Successful
PAY00000088,TXN00000088,CUST00006,SUB00006,2026-08-04,Debit Card,1500,1500,Successful
PAY00000089,TXN00000089,CUST00006,SUB00006,2026-09-02,M-Pesa,1500,1500,Successful
PAY00000090,TXN00000090,CUST00007,SUB00007,2024-02-04,M-Pesa,1500,1500,Successful
PAY00000091,TXN00000091,CUST00007,SUB00007,2024-03-01,Debit Card,1500,1500,Successful
PAY00000092,TXN00000092,CUST00007,SUB00007,2024-04-03,Credit Card,1500,1500,Successful
PAY00000093,TXN00000093,CUST00008,SUB00008,2025-04-02,Bank Transfer,4500,4500,Successful
PAY00000094,TXN00000094,CUST00008,SUB00008,2025-05-03,M-Pesa,4500,4500,Successful
PAY00000095,TXN00000095,CUST00008,SUB00008,2025-06-02,Credit Card,4500,4500,Successful
PAY00000096,TXN00000096,CUST00008,SUB00008,2025-07-03,M-Pesa,4500,4500,Successful
PAY00000097,TXN00000097,CUST00008,SUB00008,2025-08-03,Bank Transfer,4500,4500,Successful
PAY00000098,TXN00000098,CUST00008,SUB00008,2025-09-02,Credit Card,4500,4500,Successful
PAY00000099,TXN00000099,CUST00008,SUB00008,2025-10-03,Debit Card,4500,4500,Successful
PAY00000100,TXN00000100,CUST00008,SUB00008,2025-11-01,M-Pesa,4500,4500,Successful
PAY00000101,TXN00000101,CUST00008,SUB00008,2025-12-02,M-Pesa,4500,4500,Successful
PAY00000102,TXN00000102,CUST00008,SUB00008,2026-01-02,Credit Card,4500,4500,Successful
PAY00000103,TXN00000103,CUST00008,SUB00008,2026-02-03,M-Pesa,4500,4500,Successful
PAY00000104,TXN00000104,CUST00008,SUB00008,2026-03-03,Bank Transfer,4500,4500,Successful
PAY00000105,TXN00000105,CUST00008,SUB00008,2026-04-05,M-Pesa,4500,0,Failed
PAY00000106,TXN00000106,CUST00008,SUB00008,2026-05-04,Debit Card,4500,4500,Successful
PAY00000107,TXN00000107,CUST00008,SUB00008,2026-06-03,Debit Card,4500,4500,Successful
