activity_id,customer_id,month,login_count,session_minutes,invoices_created,reports_generated,active_users,features_used
ACT0000001,CUST00001,2025-01-01,16,141,30,10,5,5
ACT0000002,CUST00001,2025-02-01,18,308,41,5,8,5
ACT0000003,CUST00001,2025-03-01,16,408,33,7,6,5
ACT0000004,CUST00001,2025-04-01,15,783,36,10,2,5
ACT0000005,CUST00001,2025-05-01,21,216,61,11,3,3
ACT0000006,CUST00001,2025-06-01,23,513,40,8,5,7
ACT0000007,CUST00001,2025-07-01,24,342,54,12,10,3
ACT0000008,CUST00001,2025-08-01,22,187,43,6,7,3
ACT0000009,CUST00001,2025-09-01,9,429,11,10,1,5
ACT0000010,CUST00001,2025-10-01,7,451,58,9,2,4
ACT0000011,CUST00001,2025-11-01,22,570,19,9,1,4
ACT0000012,CUST00001,2025-12-01,18,594,38,3,2,5
ACT0000013,CUST00001,2026-01-01,21,413,32,10,2,4
ACT0000014,CUST00001,2026-02-01,37,286,13,10,2,4
ACT0000015,CUST00001,2026-03-01,17,461,61,10,5,2
ACT0000016,CUST00001,2026-04-01,14,74,28,10,5,4
ACT0000017,CUST00001,2026-05-01,21,396,42,10,1,5
ACT0000018,CUST00001,2026-06-01,28,437,49,16,3,5
ACT0000019,CUST00001,2026-07-01,17,527,46,8,1,5
ACT0000020,CUST00001,2026-08-01,32,567,52,7,5,5
ACT0000021,CUST00001,2026-09-01,16,547,26,6,4,5
ACT0000022,CUST00002,2026-05-01,12,658,41,5,1,4
ACT0000023,CUST00002,2026-06-01,17,516,30,1,3,4
ACT0000024,CUST00002,2026-07-01,23,395,56,2,6,4
ACT0000025,CUST00002,2026-08-01,25,511,49,6,1,7
ACT0000026,CUST00002,2026-09-01,19,533,50,4,5,4
ACT0000027,CUST00003,2024-07-01,20,510,16,5,6,6
ACT0000028,CUST00003,2024-08-01,27,426,47,7,2,3
ACT0000029,CUST00003,2024-09-01,24,270,54,6,3,2
ACT0000030,CUST00003,2024-10-01,12,247,36,6,7,6
ACT0000031,CUST00003,2024-11-01,12,748,32,8,6,6
ACT0000032,CUST00003,2024-12-01,19,493,35,0,4,5
ACT0000033,CUST00003,2025-01-01,22,546,16,0,4,4
ACT0000034,CUST00003,2025-02-01,15,494,8,11,3,5
ACT0000035,CUST00003,2025-03-01,16,512,35,9,3,2
ACT0000036,CUST00003,2025-04-01,12,409,30,5,3,7
ACT0000037,CUST00003,2025-05-01,14,355,32,9,3,5
ACT0000038,CUST00003,2025-06-01,18,646,23,10,3,3
ACT0000039,CUST00003,2025-07-01,16,490,39,8,6,1
ACT0000040,CUST00003,2025-08-01,27,461,31,10,5,5
ACT0000041,CUST00003,2025-09-01,0,585,37,4,2,3
ACT0000042,CUST00003,2025-10-01,13,522,32,4,1,5
ACT0000043,CUST00003,2025-11-01,14,419,44,2,4,5
ACT0000044,CUST00003,2025-12-01,15,253,48,10,7,8
ACT0000045,CUST00003,2026-01-01,18,676,18,9,7,5
ACT0000046,CUST00003,2026-02-01,27,408,30,4,2,2
ACT0000047,CUST00003,2026-03-01,24,488,12,10,2,6
ACT0000048,CUST00003,2026-04-01,9,504,0,9,4,5
ACT0000049,CUST00003,2026-05-01,17,336,37,11,2,7
ACT0000050,CUST00003,2026-06-01,6,364,30,9,2,3
ACT0000051,CUST00003,2026-07-01,19,574,38,2,1,6
ACT0000052,CUST00003,2026-08-01,8,316,33,2,1,4
ACT0000053,CUST00003,2026-09-01,18,554,60,3,6,6
ACT0000054,CUST00004,2023-11-01,21,408,36,6,2,6
ACT0000055,CUST00004,2023-12-01,19,680,29,6,2,3
ACT0000056,CUST00004,2024-01-01,24,827,30,5,2,3
ACT0000057,CUST00004,2024-02-01,29,392,27,4,4,4
ACT0000058,CUST00004,2024-03-01,13,366,55,8,4,5
ACT0000059,CUST00004,2024-04-01,29,343,31,7,1,3
ACT0000060,CUST00004,2024-05-01,27,614,48,6,3,2
ACT0000061,CUST00004,2024-06-01,26,664,51,12,4,7
ACT0000062,CUST00004,2024-07-01,19,234,48,2,4,6
