customer_id,company_name,industry,country,city,company_size,signup_date,acquisition_channel
CUST00001,Murphy LLC,Professional Services,Kenya,Kampala,6-10,2025-01-31,Instagram
CUST00002,"Kennedy, Walker and Turner",Construction,Nigeria,Mombasa,201-500,2026-05-12,Google Ads
CUST00003,Kelly-Dorsey,Real Estate,Rwanda,Nairobi,1-5,2024-07-14,Google Ads
CUST00004,Aguilar-Hall,Hospitality,Uganda,Lagos,201-500,2023-11-05,Organic Search
CUST00005,Bishop-Brown,Logistics,Uganda,Lagos,51-200,2024-10-19,Instagram
CUST00006,Campbell-Hunter,Manufacturing,Ghana,Kampala,1-5,2026-04-24,Facebook
CUST00007,"Zimmerman, Carroll and Fields",Education,Tanzania,Kampala,6-10,2024-01-31,Instagram
CUST00008,"Walker, Davis and Nelson",Technology,Kenya,Mombasa,51-200,2025-03-27,Google Ads
CUST00009,Jones LLC,Technology,South Africa,Dar es Salaam,201-500,2024-06-15,Referral
CUST00010,"Santos, Harmon and Thompson",Retail,Nigeria,Accra,201-500,2026-08-06,Google Ads
CUST00011,Chavez PLC,Education,Kenya,Lagos,11-50,2024-11-10,Partner
CUST00012,"Sanchez, Horn and Rose",Real Estate,Uganda,Mombasa,1-5,2025-04-30,Instagram
CUST00013,"Thornton, Thornton and Weiss",Healthcare,Kenya,Nakuru,1-5,2026-03-24,Sales Team
CUST00014,Campbell-Miller,Healthcare,Rwanda,Dar es Salaam,6-10,2025-09-28,Partner
CUST00015,Martinez and Sons,Technology,Uganda,Kampala,1-5,2025-06-02,Facebook
CUST00016,Thomas Group,Logistics,Nigeria,Nakuru,6-10,2024-06-23,LinkedIn
CUST00017,"Harrington, Simon and Brown",Education,Tanzania,Lagos,6-10,2024-07-03,Partner
CUST00018,Russell LLC,Retail,Uganda,Nairobi,11-50,2024-06-27,Sales Team
CUST00019,Harvey and Sons,Healthcare,Kenya,Nakuru,201-500,2024-11-14,Partner
CUST00020,Buckley and Sons,Hospitality,Nigeria,Accra,51-200,2025-05-31,LinkedIn
CUST00021,Hernandez LLC,Construction,Tanzania,Kisumu,6-10,2025-12-05,Referral
CUST00022,"Foster, Little and Pineda",Real Estate,Rwanda,Johannesburg,51-200,2025-03-20,Partner
CUST00023,Herrera Inc,Hospitality,Uganda,Lagos,51-200,2026-06-29,Google Ads
CUST00024,"Thompson, Richmond and Jordan",Retail,South Africa,Mombasa,6-10,2024-08-15,Facebook
CUST00025,"Marshall, Lopez and Brown",Education,Ghana,Mombasa,51-200,2024-06-08,Sales Team
CUST00026,Herrera Ltd,Real Estate,Rwanda,Lagos,11-50,2025-06-05,Organic Search
CUST00027,Brown and Sons,Professional Services,Nigeria,Lagos,11-50,2024-06-03,Partner
CUST00028,"Lopez, Moore and Chang",Professional Services,Tanzania,Kigali,6-10,2025-06-07,LinkedIn
CUST00029,Larson and Sons,Retail,Nigeria,Kampala,201-500,2025-07-09,Facebook
CUST00030,"Shepherd, Schultz and Miller",Logistics,Kenya,Kampala,201-500,2024-10-06,Instagram
CUST00031,"King, Sanchez and Wilkinson",Construction,Tanzania,Kisumu,201-500,2025-04-02,Organic Search
CUST00032,Duran Group,Real Estate,Tanzania,Accra,1-5,2023-10-09,Google Ads
CUST00033,Wright Ltd,Technology,South Africa,Kampala,6-10,2024-07-19,Organic Search
CUST00034,"Wilkerson, Reese and Sullivan",Hospitality,Ghana,Mombasa,1-5,2025-11-01,LinkedIn
CUST00035,Phelps PLC,Professional Services,South Africa,Lagos,6-10,2025-12-02,Facebook
CUST00036,"Ochoa, Carney and Conner",Manufacturing,Ghana,Kisumu,11-50,2025-11-26,Sales Team
CUST00037,"Johnson, Moore and Clark",Hospitality,Ghana,Nakuru,11-50,2024-05-02,Sales Team
CUST00038,"Avila, Hess and Perez",Technology,Rwanda,Lagos,51-200,2024-05-19,Google Ads
CUST00039,Thornton Group,Hospitality,Uganda,Mombasa,11-50,2025-05-10,Organic Search
CUST00040,Cannon LLC,Real Estate,Ghana,Nakuru,201-500,2025-07-05,Instagram
CUST00041,Coleman-Jennings,Retail,Kenya,Nairobi,6-10,2026-07-24,Google Ads
CUST00042,Nelson PLC,Retail,South Africa,Dar es Salaam,1-5,2025-03-06,Instagram
