feedback_id,customer_id,feedback_date,feedback_type,rating,sentiment,feedback_text
FDBK0000001,CUST00001,2025-04-20,Product Review,4,Positive,The platform has been useful for managing our business.
FDBK0000002,CUST00002,2026-08-16,Survey,5,Positive,We especially like the reporting features.
FDBK0000003,CUST00003,2026-06-01,Cancellation Feedback,4,Positive,The pricing is difficult for our business.
FDBK0000004,CUST00003,2026-07-10,Survey,3,Neutral,We like the product but the monthly cost is high.
FDBK0000005,CUST00004,2024-08-09,Survey,5,Positive,The platform is easy to use and useful for our daily operations.
FDBK0000006,CUST00004,2026-03-06,Product Review,4,Positive,We especially like the reporting features.
FDBK0000007,CUST00005,2025-01-05,General Feedback,5,Positive,We especially like the reporting features.
FDBK0000008,CUST00007,2024-02-09,Survey,4,Positive,The platform is easy to use and useful for our daily operations.
FDBK0000009,CUST00007,2024-03-19,Product Review,5,Positive,The system has helped our team manage invoices more efficiently.
FDBK0000010,CUST00007,2024-02-24,General Feedback,3,Neutral,We especially like the reporting features.
FDBK0000011,CUST00008,2026-03-30,Survey,4,Positive,We are finding it difficult to get our team to use the platform regularly.
FDBK0000012,CUST00008,2025-07-18,General Feedback,4,Positive,We are finding it difficult to get our team to use the platform regularly.
FDBK0000013,CUST00008,2026-09-17,Product Review,3,Neutral,We are not using the platform as much as we expected.
FDBK0000014,CUST00009,2026-08-05,Cancellation Feedback,4,Positive,The platform is easy to use and useful for our daily operations.
FDBK0000015,CUST00010,2026-09-03,Product Review,3,Neutral,The pricing is difficult for our business.
FDBK0000016,CUST00010,2026-09-12,Product Review,2,Negative,The platform is useful but the price is becoming expensive.
FDBK0000017,CUST00013,2026-08-09,Feature Request,2,Negative,The product is useful but support needs improvement.
FDBK0000018,CUST00014,2025-10-19,Survey,5,Positive,The platform has been useful for managing our business.
FDBK0000019,CUST00014,2026-07-04,Product Review,3,Neutral,We are happy with the features available.
FDBK0000020,CUST00017,2024-09-05,Product Review,1,Negative,Some support requests took too long to resolve.
FDBK0000021,CUST00019,2025-12-22,Product Review,3,Neutral,We especially like the reporting features.
FDBK0000022,CUST00021,2026-04-03,General Feedback,2,Negative,We need faster responses when technical problems occur.
FDBK0000023,CUST00021,2026-01-07,General Feedback,4,Positive,We have experienced several issues with customer support.
FDBK0000024,CUST00021,2025-12-16,General Feedback,1,Negative,We have experienced several issues with customer support.
FDBK0000025,CUST00021,2026-06-09,Product Review,4,Positive,Some support requests took too long to resolve.
FDBK0000026,CUST00022,2025-08-27,General Feedback,4,Positive,The platform is easy to use and useful for our daily operations.
FDBK0000027,CUST00023,2026-07-13,General Feedback,5,Positive,We are happy with the features available.
FDBK0000028,CUST00024,2025-04-13,General Feedback,5,Positive,We are happy with the features available.
FDBK0000029,CUST00026,2026-04-02,Product Review,5,Positive,The platform is easy to use and useful for our daily operations.
FDBK0000030,CUST00027,2024-12-22,Survey,5,Positive,The platform has been useful for managing our business.
FDBK0000031,CUST00028,2025-06-19,Survey,5,Positive,The platform is easy to use and useful for our daily operations.
FDBK0000032,CUST00032,2024-01-12,Cancellation Feedback,5,Positive,The platform is useful but the price is becoming expensive.
FDBK0000033,CUST00032,2024-05-20,Cancellation Feedback,5,Positive,The platform is useful but the price is becoming expensive.
FDBK0000034,CUST00033,2025-05-14,Survey,5,Positive,The system has helped our team manage invoices more efficiently.
FDBK0000035,CUST00033,2024-08-16,Product Review,5,Positive,The platform is easy to use and useful for our daily operations.
FDBK0000036,CUST00034,2026-08-13,Product Review,4,Positive,The pricing is difficult for our business.
FDBK0000037,CUST00035,2026-01-27,Product Review,4,Positive,We are happy with the features available.
FDBK0000038,CUST00035,2025-12-03,General Feedback,3,Neutral,We are happy with the features available.
FDBK0000039,CUST00035,2026-01-14,Survey,4,Positive,The system has helped our team manage invoices more efficiently.
FDBK0000040,CUST00038,2025-09-18,Survey,3,Neutral,We especially like the reporting features.
FDBK0000041,CUST00039,2026-08-12,Feature Request,4,Positive,The system has helped our team manage invoices more efficiently.
FDBK0000042,CUST00040,2025-07-05,Feature Request,3,Neutral,Our usage of the platform has decreased recently.
FDBK0000043,CUST00043,2023-11-12,Cancellation Feedback,4,Positive,Our usage of the platform has decreased recently.
FDBK0000044,CUST00048,2025-05-02,Product Review,2,Negative,Some support requests took too long to resolve.
FDBK0000045,CUST00048,2026-02-25,Product Review,4,Positive,We need faster responses when technical problems occur.
FDBK0000046,CUST00049,2026-08-26,General Feedback,3,Neutral,We like the product but the monthly cost is high.
FDBK0000047,CUST00050,2025-12-19,Survey,5,Positive,We are happy with the features available.
FDBK0000048,CUST00051,2024-12-27,Product Review,3,Neutral,The platform has been useful for managing our business.
FDBK0000049,CUST00051,2025-08-06,Survey,4,Positive,The platform is easy to use and useful for our daily operations.
